02702 + ASSONET,"$                 64,969"
02703 + ATTLEBORO,"$           3,583,277"
02703 + S ATTLEBORO,"$              570,138"
02715 + DIGHTON,"$                 27,396"
02717 + E FREETOWN,"$              167,612"
02717 + FREETOWN,"$                 66,313"
02718 + E TAUNTON,"$              128,029"
02718 + TAUNTON,"$              155,125"
02719 + FAIRHAVEN,"$           2,085,713"
02720 + FALL RIVER,"$           2,421,148"
02721 + FALL RIVER,"$           2,412,931"
02722 + FALL RIVER,"$                 35,641"
02723 + FALL RIVER,"$           1,544,472"
02724 + FALL RIVER,"$           1,628,547"
02725 + SOMERSET,"$           1,081,476"
02726 + SOMERSET,"$           1,704,365"
02738 + MARION,"$              250,341"
02739 + MATTAPOISETT,"$              137,543"
02740 + NEW BEDFORD,"$           4,118,297"
02743 + ACUSHNET,"$              981,005"
02744 + NEW BEDFORD,"$           1,931,606"
02745 + NEW BEDFORD,"$           3,435,084"
02746 + NEW BEDFORD,"$           4,249,267"
02747 + DARTMOUTH,"$              977,933"
02747 + N DARTMOUTH,"$                 31,916"
02748 + DARTMOUTH,"$              141,697"
Mass. Lottery KENO Sales by ZIP - 2013,Sales
02760 + ATTLEBORO,"$                 60,197"
02760 + N ATTLEBORO,"$              905,523"
02761 + N ATTLEBORO,"$              343,994"
02762 + PLAINVILLE,"$           1,564,560"
02763 + N ATTLEBORO,"$              619,082"
02764 + DIGHTON,"$                   9,741"
02764 + N DIGHTON,"$                   8,256"
02766 + NORTON,"$           3,581,554"
02767 + RAYNHAM,"$           2,364,305"
02769 + REHOBOTH,"$                 48,854"
02770 + ROCHESTER,"$                 48,942"
02771 + SEEKONK,"$              197,491"
02777 + SWANSEA,"$           1,865,175"
02779 + BERKLEY,"$                 68,706"
02780 + TAUNTON,"$           6,078,164"
